tract_id,county,median_income,internet_access_rate,broadband_subscription_rate,bachelor_degree_rate,poverty_rate,unemployment_rate
NJ-001,Bergen,84835.0,71.2,65.3,5.3,7.6,8.5
NJ-002,Camden,67915.0,75.0,66.0,53.8,13.9,4.2
NJ-003,Union,73132.0,76.8,73.1,74.8,13.8,4.6
NJ-004,Bergen,86371.0,81.1,78.0,44.3,19.1,3.4
NJ-005,Ocean,99918.0,75.0,70.4,41.3,20.2,9.7
NJ-006,Hudson,112949.0,84.3,81.0,47.8,23.3,5.0
NJ-007,Middlesex,117190.0,90.9,90.8,48.2,13.8,5.9
NJ-008,Hudson,72276.0,68.8,65.6,39.9,14.5,5.0
NJ-009,Monmouth,66506.0,73.4,65.3,32.8,8.6,6.3
NJ-010,Hudson,80291.0,74.0,70.5,43.1,7.4,3.9
NJ-011,Monmouth,80952.0,71.3,68.1,18.8,4.1,4.8
NJ-012,Mercer,61113.0,999.0,58.3,11.6,10.6,4.2
NJ-013,Morris,63729.0,75.4,70.0,57.1,12.9,1.3
NJ-014,Burlington,96705.0,83.8,79.0,31.6,12.1,6.5
NJ-015,Morris,115761.0,81.9,77.0,48.0,15.4,7.5
NJ-016,Middlesex,72790.0,72.1,70.2,59.8,3.9,7.9
NJ-017,Mercer,63097.0,70.5,76.8,55.1,22.4,9.1
NJ-018,Mercer,71482.0,56.7,56.1,30.3,13.8,7.9
NJ-019,Ocean,55112.0,63.1,60.2,42.5,18.6,5.9
NJ-020,Ocean,71724.0,-5.0,68.5,21.7,14.1,7.1
NJ-021,Bergen,,68.2,62.4,36.5,6.7,4.9
NJ-022,Passaic,666666.0,71.6,72.1,52.6,10.0,7.6
NJ-023,Middlesex,106395.0,84.4,90.3,38.4,1.0,5.4
NJ-024,Hudson,81470.0,63.8,57.4,5.0,13.3,1.3
NJ-025,Hudson,89066.0,68.0,65.8,6.5,11.6,5.9
NJ-026,Mercer,74579.0,67.2,64.0,26.8,19.3,6.1
NJ-027,Mercer,108260.0,94.4,98.5,56.7,1.5,3.6
NJ-028,Hudson,49886.0,130.0,54.0,40.8,11.5,6.9
NJ-029,Monmouth,71017.0,77.2,74.7,40.0,,8.4
NJ-030,Camden,51005.0,60.0,56.7,19.6,4.4,3.7
NJ-031,Essex,97004.0,80.3,73.6,40.1,3.2,7.5
NJ-032,Union,97557.0,79.0,78.5,6.1,4.9,7.7
NJ-033,Morris,66137.0,64.2,62.1,42.8,17.9,4.1
NJ-034,Burlington,116137.0,,72.2,54.5,17.9,5.1
NJ-035,Camden,71163.0,60.9,58.4,26.6,3.4,3.8
NJ-036,Hudson,46182.0,,63.0,53.2,11.0,4.8
NJ-037,Ocean,71532.0,57.3,61.3,27.9,666666.0,5.9
NJ-038,Mercer,86280.0,67.9,65.6,40.1,14.0,8.3
NJ-039,Hudson,72609.0,62.8,54.7,36.1,2.9,4.7
NJ-040,Passaic,130107.0,89.2,83.3,39.3,8.4,2.9
